date,method,orb_high,orb_low,orb_size,invalidation,reaction_pattern,entry_triggered,entry_price,stop_price,outcome,r_multiple
2024-04-25 00:00:00,LIQUIDITY_REACTION,2340.3,2337.3,3.0,NO,B,NO,,,,
2024-05-14 00:00:00,LIQUIDITY_REACTION,2345.4,2343.5,1.900000000000091,NO,B,NO,,,,
2024-06-14 00:00:00,LIQUIDITY_REACTION,2333.9,2330.0,3.900000000000091,NO,B,YES,2335.5,2329.5,TIMEOUT,-0.4833333333333485
2024-07-26 00:00:00,LIQUIDITY_REACTION,2372.7,2370.1,2.599999999999909,NO,B,NO,,,,
2024-09-03 00:00:00,LIQUIDITY_REACTION,2535.0,2532.8,2.199999999999818,NO,B,YES,2535.3,2532.3,WIN,1.066666666666606
2024-09-05 00:00:00,LIQUIDITY_REACTION,2538.0,2536.2,1.800000000000182,NO,B,YES,2538.2,2535.5,WIN,3.2592592592595464
2024-09-09 00:00:00,LIQUIDITY_REACTION,2524.5,2523.4,1.099999999999909,NO,B,NO,,,,
2024-09-13 00:00:00,LIQUIDITY_REACTION,2599.2,2595.9,3.299999999999727,NO,B,NO,,,,
2024-09-26 00:00:00,LIQUIDITY_REACTION,2689.1,2687.6,1.5,NO,B,YES,2690.8,2687.1,WIN,0.7837837837836277
2024-11-15 00:00:00,LIQUIDITY_REACTION,2571.5,2567.9,3.599999999999909,NO,B,NO,,,,
2024-11-21 00:00:00,LIQUIDITY_REACTION,2666.6,2664.8,1.7999999999997272,NO,B,YES,2668.4,2663.8,WIN,0.9130434782608481
2025-02-05 00:00:00,LIQUIDITY_REACTION,2891.7,2889.7,2.0,NO,B,YES,2892.2,2889.2,WIN,1.2333333333334242
2025-02-07 00:00:00,LIQUIDITY_REACTION,2889.2,2887.0,2.199999999999818,NO,B,YES,2889.6,2886.5,LOSS,-1.1290322580645493
2025-02-19 00:00:00,LIQUIDITY_REACTION,2953.0,2951.6,1.400000000000091,NO,B,YES,2955.8,2950.5,TIMEOUT,0.018867924528284077
2025-03-12 00:00:00,LIQUIDITY_REACTION,2921.1,2919.2,1.900000000000091,NO,B,YES,2921.8,2918.7,WIN,1.9032258064512722
2025-03-14 00:00:00,LIQUIDITY_REACTION,3000.6,2998.7,1.900000000000091,NO,B,YES,3003.1,2998.2,WIN,0.7346938775509883
2025-04-29 00:00:00,LIQUIDITY_REACTION,3335.0,3329.5,5.5,NO,B,NO,,,,
2025-06-10 00:00:00,LIQUIDITY_REACTION,3351.4,3348.4,3.0,NO,B,YES,3352.8,3346.8,LOSS,-1.0
2025-06-24 00:00:00,LIQUIDITY_REACTION,3346.4,3340.7,5.700000000000273,NO,B,NO,,,,
2025-09-04 00:00:00,LIQUIDITY_REACTION,3604.0,3599.6,4.400000000000091,NO,B,NO,,,,
2025-09-26 00:00:00,LIQUIDITY_REACTION,3779.1,3776.7,2.400000000000091,NO,B,YES,3779.8,3776.2,WIN,1.444444444444248
2025-10-03 00:00:00,LIQUIDITY_REACTION,3887.9,3886.5,1.400000000000091,NO,A,NO,,,,
2025-10-31 00:00:00,LIQUIDITY_REACTION,4036.2,4030.2,6.0,NO,B,NO,,,,
2025-11-03 00:00:00,LIQUIDITY_REACTION,4038.3,4035.9,2.400000000000091,YES,NONE,NO,,,,
2025-11-05 00:00:00,LIQUIDITY_REACTION,3985.9,3982.0,3.900000000000091,NO,B,YES,3991.9,3981.5,WIN,0.46153846153843125
2025-11-26 00:00:00,LIQUIDITY_REACTION,4194.5,4191.1,3.399999999999636,NO,A,YES,4199.9,4190.6,LOSS,-1.0
2025-12-01 00:00:00,LIQUIDITY_REACTION,4282.4,4278.1,4.299999999999272,NO,B,YES,4285.5,4277.6,LOSS,-1.0
2025-12-23 00:00:00,LIQUIDITY_REACTION,4520.8,4517.2,3.600000000000364,NO,B,NO,,,,
