orb,close_confirmations,rr,sl_mode,buffer_ticks,trades,wins,losses,win_rate,total_r,avg_r
1000,2,3.0,full,20.0,449,130,319,0.289532293986637,71.0,0.15812917594654788
1000,2,3.0,full,15.0,449,130,319,0.289532293986637,71.0,0.15812917594654788
1000,2,3.0,,0.0,449,130,319,0.289532293986637,71.0,0.15812917594654788
1000,2,3.0,full,10.0,449,130,319,0.289532293986637,71.0,0.15812917594654788
1000,2,3.0,full,0.0,449,130,319,0.289532293986637,71.0,0.15812917594654788
1000,2,3.0,full,5.0,449,130,319,0.289532293986637,71.0,0.15812917594654788
1000,2,3.0,half,20.0,462,132,330,0.2857142857142857,66.0,0.14285714285714285
1800,1,2.0,half,0.0,504,188,316,0.373015873015873,60.0,0.11904761904761904
1000,2,3.0,half,0.0,489,137,352,0.28016359918200406,59.0,0.12065439672801637
1000,2,3.0,half,10.0,470,132,338,0.28085106382978725,58.0,0.12340425531914893
1000,2,3.0,half,15.0,467,131,336,0.28051391862955033,57.0,0.12205567451820129
1800,1,2.0,half,2.0,501,185,316,0.36926147704590817,54.0,0.10778443113772455
1800,1,1.5,half,0.0,505,223,282,0.4415841584158416,52.5,0.10396039603960396
1000,1,1.5,half,2.0,506,223,283,0.4407114624505929,51.5,0.10177865612648221
1000,2,2.5,half,0.0,491,155,336,0.31568228105906315,51.5,0.10488798370672098
1000,2,3.0,half,5.0,477,132,345,0.27672955974842767,51.0,0.1069182389937107
1000,1,1.5,half,0.0,510,223,287,0.4372549019607843,47.5,0.09313725490196079
1800,1,1.0,half,2.0,506,276,230,0.5454545454545454,46.0,0.09090909090909091
1000,1,2.0,half,0.0,509,185,324,0.36345776031434185,46.0,0.09037328094302555
1000,1,3.0,half,10.0,494,134,360,0.27125506072874495,42.0,0.08502024291497975
1800,1,1.5,half,2.0,504,217,287,0.4305555555555556,38.5,0.0763888888888889
1000,2,2.5,,0.0,452,140,312,0.30973451327433627,38.0,0.084070796460177
1000,1,3.0,half,5.0,498,134,364,0.26907630522088355,38.0,0.07630522088353414
1000,2,2.5,full,10.0,452,140,312,0.30973451327433627,38.0,0.084070796460177
1000,1,3.0,half,20.0,490,132,358,0.2693877551020408,38.0,0.07755102040816327
1000,2,2.5,full,15.0,452,140,312,0.30973451327433627,38.0,0.084070796460177
1000,2,2.5,full,5.0,452,140,312,0.30973451327433627,38.0,0.084070796460177
1000,2,2.5,full,20.0,452,140,312,0.30973451327433627,38.0,0.084070796460177
1000,2,2.5,full,0.0,452,140,312,0.30973451327433627,38.0,0.084070796460177
1000,2,2.0,half,0.0,497,178,319,0.358148893360161,37.0,0.0744466800804829
1000,1,3.0,full,20.0,472,127,345,0.2690677966101695,36.0,0.07627118644067797
1000,1,3.0,full,5.0,472,127,345,0.2690677966101695,36.0,0.07627118644067797
1000,1,3.0,full,15.0,472,127,345,0.2690677966101695,36.0,0.07627118644067797
1000,1,3.0,,0.0,472,127,345,0.2690677966101695,36.0,0.07627118644067797
1000,1,3.0,full,0.0,472,127,345,0.2690677966101695,36.0,0.07627118644067797
1000,1,3.0,full,10.0,472,127,345,0.2690677966101695,36.0,0.07627118644067797
1000,1,3.0,half,0.0,506,135,371,0.26679841897233203,34.0,0.06719367588932806
1000,1,1.5,half,5.0,506,216,290,0.4268774703557312,34.0,0.06719367588932806
1000,1,3.0,half,15.0,491,131,360,0.2668024439918534,33.0,0.06720977596741344
1000,2,2.5,half,15.0,471,144,327,0.3057324840764331,33.0,0.07006369426751592
1000,2,2.5,half,10.0,475,145,330,0.30526315789473685,32.5,0.06842105263157895
1000,1,2.0,half,2.0,505,179,326,0.35445544554455444,32.0,0.06336633663366337
1000,1,2.5,half,0.0,507,154,353,0.3037475345167653,32.0,0.0631163708086785
1000,2,1.5,half,0.0,498,212,286,0.42570281124497994,32.0,0.0642570281124498
1000,2,2.5,half,20.0,465,142,323,0.3053763440860215,32.0,0.06881720430107527
1000,2,2.5,half,5.0,481,146,335,0.30353430353430355,30.0,0.062370062370062374
1000,1,1.0,half,2.0,506,268,238,0.5296442687747036,30.0,0.05928853754940711
1800,1,2.5,half,0.0,495,150,345,0.30303030303030304,30.0,0.06060606060606061
1000,1,1.5,half,10.0,505,212,293,0.4198019801980198,25.0,0.04950495049504951
1000,2,1.5,half,20.0,478,201,277,0.4205020920502092,24.5,0.051255230125523014
1000,2,1.5,half,10.0,488,205,283,0.42008196721311475,24.5,0.050204918032786885
