orb_time,rr,sl_mode,filter_set,trades,wins,losses,wr,total_r,avg_r
0900,1.0,HALF,BASELINE,512,300,212,58.59375,88.0,0.171875
0900,1.0,HALF,MAX_STOP_100,491,284,207,57.841140529531565,77.0,0.15682281059063136
0900,1.0,HALF,MAX_STOP_100_TP_CAP_150,491,284,207,57.841140529531565,77.0,0.15682281059063136
0900,1.0,FULL,BASELINE,507,321,186,63.31360946745562,135.0,0.26627218934911245
0900,1.0,FULL,MAX_STOP_100,487,306,181,62.83367556468173,125.0,0.25667351129363447
0900,1.0,FULL,MAX_STOP_100_TP_CAP_150,487,306,181,62.83367556468173,125.0,0.25667351129363447
0900,1.5,HALF,BASELINE,512,250,262,48.828125,113.0,0.220703125
0900,1.5,HALF,MAX_STOP_100,491,235,256,47.86150712830957,96.5,0.19653767820773932
0900,1.5,HALF,MAX_STOP_100_TP_CAP_150,491,235,256,47.86150712830957,96.5,0.19653767820773932
0900,1.5,FULL,BASELINE,502,249,253,49.60159362549801,120.5,0.2400398406374502
0900,1.5,FULL,MAX_STOP_100,485,239,246,49.27835051546392,112.5,0.23195876288659795
0900,1.5,FULL,MAX_STOP_100_TP_CAP_150,485,239,246,49.27835051546392,112.5,0.23195876288659795
0900,2.0,HALF,BASELINE,512,210,302,41.015625,118.0,0.23046875
0900,2.0,HALF,MAX_STOP_100,491,198,293,40.32586558044807,103.0,0.20977596741344195
0900,2.0,HALF,MAX_STOP_100_TP_CAP_150,491,198,293,40.32586558044807,103.0,0.20977596741344195
0900,2.0,FULL,BASELINE,500,204,296,40.8,112.0,0.224
0900,2.0,FULL,MAX_STOP_100,483,196,287,40.57971014492754,105.0,0.21739130434782608
0900,2.0,FULL,MAX_STOP_100_TP_CAP_150,468,187,281,39.95726495726496,93.0,0.1987179487179487
0900,2.5,HALF,BASELINE,512,182,330,35.546875,125.0,0.244140625
0900,2.5,HALF,MAX_STOP_100,491,171,320,34.82688391038696,107.5,0.2189409368635438
0900,2.5,HALF,MAX_STOP_100_TP_CAP_150,491,171,320,34.82688391038696,107.5,0.2189409368635438
0900,2.5,FULL,BASELINE,498,172,326,34.53815261044177,104.0,0.20883534136546184
0900,2.5,FULL,MAX_STOP_100,482,166,316,34.439834024896264,99.0,0.2053941908713693
0900,2.5,FULL,MAX_STOP_100_TP_CAP_150,446,148,298,33.18385650224215,72.0,0.16143497757847533
0900,3.0,HALF,BASELINE,509,157,352,30.844793713163064,119.0,0.2337917485265226
0900,3.0,HALF,MAX_STOP_100,491,149,342,30.346232179226067,105.0,0.21384928716904278
0900,3.0,HALF,MAX_STOP_100_TP_CAP_150,491,149,342,30.346232179226067,105.0,0.21384928716904278
0900,3.0,FULL,BASELINE,495,151,344,30.50505050505051,109.0,0.2202020202020202
0900,3.0,FULL,MAX_STOP_100,479,145,334,30.2713987473904,101.0,0.21085594989561587
0900,3.0,FULL,MAX_STOP_100_TP_CAP_150,420,121,299,28.809523809523807,64.0,0.1523809523809524
0900,3.5,HALF,BASELINE,508,137,371,26.968503937007878,108.5,0.21358267716535434
0900,3.5,HALF,MAX_STOP_100,490,130,360,26.53061224489796,95.0,0.19387755102040816
0900,3.5,HALF,MAX_STOP_100_TP_CAP_150,480,127,353,26.458333333333332,91.5,0.190625
0900,3.5,FULL,BASELINE,493,136,357,27.586206896551722,119.0,0.2413793103448276
0900,3.5,FULL,MAX_STOP_100,478,131,347,27.405857740585777,111.5,0.23326359832635984
0900,3.5,FULL,MAX_STOP_100_TP_CAP_150,410,106,304,25.853658536585368,67.0,0.16341463414634147
0900,4.0,HALF,BASELINE,507,125,382,24.65483234714004,118.0,0.23274161735700197
0900,4.0,HALF,MAX_STOP_100,489,119,370,24.335378323108383,106.0,0.2167689161554192
0900,4.0,HALF,MAX_STOP_100_TP_CAP_150,471,113,358,23.991507430997878,94.0,0.19957537154989385
0900,4.0,FULL,BASELINE,489,118,371,24.130879345603272,101.0,0.2065439672801636
0900,4.0,FULL,MAX_STOP_100,476,115,361,24.159663865546218,99.0,0.20798319327731093
0900,4.0,FULL,MAX_STOP_100_TP_CAP_150,398,90,308,22.613065326633166,52.0,0.1306532663316583
