date_local,orb,direction,entry_ts,entry_price,stop_price,target_price,stop_ticks,orb_range_ticks,outcome,r_multiple,entry_delay_bars,mae_r,mfe_r,close_confirmations,rr,sl_mode,buffer_ticks
2024-01-02,1800,DOWN,2024-01-02 18:20:00,2081.7,2082.6499999999996,2079.5,9.499999999998181,10.99999999999909,LOSS,-0.8636363636362697,3,1.5789473684213549,1.1578947368422312,1,2.0,half,0.0
2024-01-03,1800,UP,2024-01-03 18:10:00,2071.9,2071.1,2073.9,8.000000000001819,10.0,LOSS,-0.8000000000001819,1,1.7499999999997158,0.0,1,2.0,half,0.0
2024-01-04,1800,UP,2024-01-04 18:10:00,2055.0,2054.3500000000004,2057.2,6.499999999996362,10.99999999999909,LOSS,-0.590909090908809,1,1.2307692307701994,0.7692307692311997,1,2.0,half,0.0
2024-01-05,1800,DOWN,2024-01-05 18:10:00,2049.6,2050.55,2046.6,9.500000000002728,15.0,LOSS,-0.6333333333335153,1,1.157894736841677,1.4736842105259882,1,2.0,half,0.0
2024-01-08,1800,DOWN,2024-01-08 18:10:00,2035.1,2036.9,2030.6999999999998,18.00000000000182,22.000000000000455,LOSS,-0.818181818181884,1,1.0555555555554994,0.2777777777777497,1,2.0,half,0.0
2024-01-09,1800,DOWN,2024-01-09 18:10:00,2038.3,2042.6,2031.8999999999999,42.999999999999545,32.000000000000455,LOSS,-1.3437499999999667,1,1.0,0.2325581395348862,1,2.0,half,0.0
2024-01-10,1800,UP,2024-01-10 18:10:00,2039.0,2037.0,2043.8000000000002,20.0,24.00000000000091,WIN,2.0,1,0.6000000000000227,3.6499999999999773,1,2.0,half,0.0
2024-01-11,1800,DOWN,2024-01-11 18:15:00,2036.3,2037.85,2033.7,15.499999999999545,12.999999999999545,LOSS,-1.192307692307699,2,1.16129032258065,0.06451612903220127,1,2.0,half,0.0
2024-01-12,1800,UP,2024-01-12 18:15:00,2043.6,2042.5,2046.4,10.99999999999909,14.00000000000091,LOSS,-0.7857142857141697,2,1.0,0.7272727272729528,1,2.0,half,0.0
2024-01-15,1800,UP,2024-01-15 18:10:00,2060.7,2058.5,2062.3,21.99999999999818,8.000000000001819,WIN,2.0,1,0.6818181818182382,0.7727272727274607,1,2.0,half,0.0
2024-01-16,1800,DOWN,2024-01-16 18:10:00,2051.6,2052.6,2049.2000000000003,10.0,11.999999999998181,LOSS,-0.8333333333334596,1,1.099999999999909,0.40000000000009095,1,2.0,half,0.0
2024-01-17,1800,DOWN,2024-01-17 18:15:00,2027.7,2028.75,2024.3000000000004,10.499999999999545,16.99999999999818,LOSS,-0.6176470588235687,2,1.2380952380952484,0.19047619047624204,1,2.0,half,0.0
2024-01-18,1800,DOWN,2024-01-18 18:10:00,2012.7,2013.65,2010.9000000000003,9.500000000000455,8.999999999998636,LOSS,-1.055555555555766,1,1.4736842105261017,0.9473684210526819,1,2.0,half,0.0
2024-01-19,1800,DOWN,2024-01-19 18:15:00,2028.6,2029.65,2026.0,10.500000000001819,12.999999999999545,LOSS,-0.8076923076924759,2,1.0476190476189962,0.09523809523799212,1,2.0,half,0.0
2024-01-22,1800,UP,2024-01-22 18:10:00,2024.8,2023.5,2029.6000000000001,12.999999999999545,24.00000000000091,LOSS,-0.5416666666666272,1,1.0769230769230096,2.4615384615385825,1,2.0,half,0.0
2024-01-23,1800,DOWN,2024-01-23 18:20:00,2031.1,2032.2,2027.1,11.000000000001364,20.0,LOSS,-0.5500000000000682,3,1.2727272727271977,0.5454545454543951,1,2.0,half,0.0
2024-01-24,1800,DOWN,2024-01-24 18:10:00,2030.6,2031.9,2025.8000000000002,13.000000000001819,23.999999999998636,LOSS,-0.5416666666667732,1,2.0769230769228213,0.9999999999998251,1,2.0,half,0.0
2024-01-25,1800,DOWN,2024-01-25 18:10:00,2014.2,2015.3000000000002,2011.8,11.000000000001364,12.000000000000455,LOSS,-0.9166666666667456,1,1.272727272726991,1.636363636363392,1,2.0,half,0.0
2024-01-26,1800,DOWN,2024-01-26 19:00:00,2019.8,2020.9,2017.0000000000002,11.000000000001364,13.999999999998636,LOSS,-0.7857142857144597,11,1.0,1.7272727272723891,1,2.0,half,0.0
2024-01-29,1800,DOWN,2024-01-29 19:10:00,2048.3,2050.4,2042.6999999999998,20.99999999999909,28.00000000000182,NO_TRADE,0.0,13,0.1904761904760255,2.19047619047635,1,2.0,half,0.0
2024-01-30,1800,UP,2024-01-30 18:15:00,2057.2,2056.0,2059.5999999999995,11.999999999998181,11.999999999998181,LOSS,-1.0,2,1.4166666666667298,0.33333333333345966,1,2.0,half,0.0
2024-01-31,1800,UP,2024-01-31 18:15:00,2055.9,2054.95,2058.9,9.500000000002728,15.0,LOSS,-0.6333333333335153,2,1.68421052631521,2.842105263156887,1,2.0,half,0.0
