config,filter_name,rr,sl_mode,trades,wins,losses,wr,total_r,avg_r,expectancy
BASELINE_RR1.5_SLFULL,BASELINE,1.5,FULL,499,277,222,55.51102204408818,193.5,0.3877755511022044,0.3877755511022044
BASELINE_RR2.0_SLFULL,BASELINE,2.0,FULL,498,230,268,46.1847389558233,192.0,0.3855421686746988,0.38554216867469904
BASELINE_RR1.0_SLFULL,BASELINE,1.0,FULL,500,337,163,67.4,174.0,0.348,0.3480000000000001
BASELINE_RR2.5_SLFULL,BASELINE,2.5,FULL,495,191,304,38.58585858585858,173.5,0.3505050505050505,0.3505050505050503
BASELINE_RR3.0_SLFULL,BASELINE,3.0,FULL,491,163,328,33.19755600814664,161.0,0.32790224032586557,0.32790224032586557
NY_HIGH_DIR_RR2.0_SLFULL,NY_HIGH_DIR,2.0,FULL,357,170,187,47.61904761904761,153.0,0.42857142857142855,0.4285714285714284
NY_HIGH_DIR_RR1.5_SLFULL,NY_HIGH_DIR,1.5,FULL,358,202,156,56.424581005586596,147.0,0.4106145251396648,0.4106145251396648
BASELINE_RR3.5_SLFULL,BASELINE,3.5,FULL,482,138,344,28.63070539419087,139.0,0.2883817427385892,0.2883817427385892
NY_HIGH_DIR_RR2.5_SLFULL,NY_HIGH_DIR,2.5,FULL,355,139,216,39.154929577464785,131.5,0.3704225352112676,0.37042253521126745
NY_HIGH_DIR_RR1.0_SLFULL,NY_HIGH_DIR,1.0,FULL,359,243,116,67.68802228412257,127.0,0.35376044568245124,0.3537604456824513
ASIA_NORMAL_WIDE_RR1.5_SLFULL,ASIA_NORMAL_WIDE,1.5,FULL,292,167,125,57.1917808219178,125.5,0.4297945205479452,0.4297945205479451
NY_HIGH_DIR_RR3.0_SLFULL,NY_HIGH_DIR,3.0,FULL,353,119,234,33.711048158640224,123.0,0.34844192634560905,0.3484419263456088
BASELINE_RR4.0_SLFULL,BASELINE,4.0,FULL,478,119,359,24.89539748953975,117.0,0.24476987447698745,0.2447698744769875
BASELINE_RR3.0_SLHALF,BASELINE,3.0,HALF,501,154,347,30.738522954091817,115.0,0.22954091816367264,0.22954091816367272
NY_HIGH_DIR_RR3.5_SLFULL,NY_HIGH_DIR,3.5,FULL,349,103,246,29.512893982808023,114.5,0.32808022922636104,0.32808022922636104
ASIA_NORMAL_WIDE_RR2.0_SLFULL,ASIA_NORMAL_WIDE,2.0,FULL,291,135,156,46.391752577319586,114.0,0.3917525773195876,0.39175257731958757
BASELINE_RR3.5_SLHALF,BASELINE,3.5,HALF,501,136,365,27.14570858283433,111.0,0.2215568862275449,0.22155688622754488
BASELINE_RR4.0_SLHALF,BASELINE,4.0,HALF,501,122,379,24.35129740518962,109.0,0.21756487025948104,0.21756487025948112
NY_HIGH_DIR_RR4.0_SLFULL,NY_HIGH_DIR,4.0,FULL,348,91,257,26.14942528735632,107.0,0.3074712643678161,0.307471264367816
BASELINE_RR2.5_SLHALF,BASELINE,2.5,HALF,501,172,329,34.3313373253493,101.0,0.20159680638722555,0.20159680638722555
ASIA_NORMAL_WIDE_RR3.0_SLFULL,ASIA_NORMAL_WIDE,3.0,FULL,287,97,190,33.79790940766551,101.0,0.3519163763066202,0.3519163763066202
ASIA_NORMAL_WIDE_RR2.5_SLFULL,ASIA_NORMAL_WIDE,2.5,FULL,289,111,178,38.4083044982699,99.5,0.34429065743944637,0.34429065743944653
BASELINE_RR2.0_SLHALF,BASELINE,2.0,HALF,501,200,301,39.920159680638726,99.0,0.19760479041916168,0.1976047904191618
ASIA_NORMAL_RR3.0_SLFULL,ASIA_NORMAL,3.0,FULL,199,74,125,37.185929648241206,97.0,0.48743718592964824,0.48743718592964824
ASIA_NORMAL_WIDE_RR1.0_SLFULL,ASIA_NORMAL_WIDE,1.0,FULL,293,195,98,66.55290102389078,97.0,0.3310580204778157,0.3310580204778157
ASIA_NORMAL_RR1.5_SLFULL,ASIA_NORMAL,1.5,FULL,201,119,82,59.20398009950249,96.5,0.48009950248756217,0.4800995024875622
SMALL_ORB_RR1.5_SLFULL,SMALL_ORB,1.5,FULL,175,107,68,61.142857142857146,92.5,0.5285714285714286,0.5285714285714286
ASIA_NORMAL_RR3.5_SLFULL,ASIA_NORMAL,3.5,FULL,196,63,133,32.142857142857146,87.5,0.44642857142857145,0.4464285714285714
ASIA_NORMAL_WIDE_RR3.5_SLFULL,ASIA_NORMAL_WIDE,3.5,FULL,282,82,200,29.078014184397162,87.0,0.30851063829787234,0.3085106382978723
ASIA_NORMAL_RR2.0_SLFULL,ASIA_NORMAL,2.0,FULL,201,95,106,47.2636815920398,84.0,0.417910447761194,0.417910447761194
BASELINE_RR1.5_SLHALF,BASELINE,1.5,HALF,501,234,267,46.706586826347305,84.0,0.16766467065868262,0.16766467065868274
ASIA_NORMAL_RR2.5_SLFULL,ASIA_NORMAL,2.5,FULL,200,81,119,40.5,83.5,0.4175,0.4175000000000002
NY_HIGH_DIR_RR3.5_SLHALF,NY_HIGH_DIR,3.5,HALF,360,98,262,27.22222222222222,81.0,0.225,0.22499999999999998
SMALL_ORB_RR4.0_SLFULL,SMALL_ORB,4.0,FULL,175,51,124,29.142857142857142,80.0,0.45714285714285713,0.4571428571428571
NY_HIGH_DIR_RR4.0_SLHALF,NY_HIGH_DIR,4.0,HALF,360,88,272,24.444444444444443,80.0,0.2222222222222222,0.2222222222222222
ASIA_NORMAL_RR1.0_SLFULL,ASIA_NORMAL,1.0,FULL,202,139,63,68.8118811881188,76.0,0.37623762376237624,0.3762376237623761
SMALL_ORB_RR2.0_SLFULL,SMALL_ORB,2.0,FULL,175,83,92,47.42857142857143,74.0,0.4228571428571429,0.42285714285714293
NY_HIGH_DIR_RR3.0_SLHALF,NY_HIGH_DIR,3.0,HALF,360,108,252,30.0,72.0,0.2,0.19999999999999996
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR3.0_SLFULL,ASIA_NORMAL_NY_HIGH_SKIP_LOW,3.0,FULL,68,35,33,51.470588235294116,72.0,1.0588235294117647,1.0588235294117645
ASIA_NORMAL_NY_HIGH_RR3.0_SLFULL,ASIA_NORMAL_NY_HIGH,3.0,FULL,148,55,93,37.16216216216216,72.0,0.4864864864864865,0.4864864864864865
ASIA_NORMAL_RR4.0_SLFULL,ASIA_NORMAL,4.0,FULL,193,53,140,27.461139896373055,72.0,0.37305699481865284,0.37305699481865273
ASIA_NORMAL_NY_HIGH_RR1.5_SLFULL,ASIA_NORMAL_NY_HIGH,1.5,FULL,148,87,61,58.78378378378378,69.5,0.46959459459459457,0.4695945945945946
SMALL_ORB_RR1.0_SLFULL,SMALL_ORB,1.0,FULL,175,122,53,69.71428571428572,69.0,0.3942857142857143,0.3942857142857144
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR4.0_SLFULL,ASIA_NORMAL_NY_HIGH_SKIP_LOW,4.0,FULL,67,27,40,40.298507462686565,68.0,1.0149253731343284,1.0149253731343282
ASIA_NORMAL_RR3.5_SLHALF,ASIA_NORMAL,3.5,HALF,203,60,143,29.55665024630542,67.0,0.33004926108374383,0.330049261083744
