orb,rr,trades,wins,win_rate,avg_r,total_r
0900,1.0,522,372,71.26,0.4253,222.0
0900,1.5,522,100,19.16,-0.5211,-272.0
0900,2.0,522,47,9.0,-0.7299,-381.0
0900,2.5,522,20,3.83,-0.8659,-452.0
0900,3.0,522,14,2.68,-0.8927,-466.0
0900,4.0,522,3,0.57,-0.9713,-507.0
0900,5.0,522,2,0.38,-0.977,-510.0
0900,6.0,522,0,0.0,-1.0,-522.0
0900,8.0,522,0,0.0,-1.0,-522.0
1000,1.0,523,351,67.11,0.3423,179.0
1000,1.5,523,108,20.65,-0.4837,-253.0
1000,2.0,523,23,4.4,-0.8681,-454.0
1000,2.5,523,11,2.1,-0.9264,-484.5
1000,3.0,523,4,0.76,-0.9694,-507.0
1000,4.0,523,2,0.38,-0.9809,-513.0
1000,5.0,523,0,0.0,-1.0,-523.0
1000,6.0,523,0,0.0,-1.0,-523.0
1000,8.0,523,0,0.0,-1.0,-523.0
1100,1.0,523,379,72.47,0.4493,235.0
1100,1.5,523,93,17.78,-0.5554,-290.5
1100,2.0,523,36,6.88,-0.7935,-415.0
1100,2.5,523,10,1.91,-0.9331,-488.0
1100,3.0,523,4,0.76,-0.9694,-507.0
1100,4.0,523,2,0.38,-0.9809,-513.0
1100,5.0,523,0,0.0,-1.0,-523.0
1100,6.0,523,0,0.0,-1.0,-523.0
1100,8.0,523,0,0.0,-1.0,-523.0
1800,1.0,522,372,71.26,0.4253,222.0
1800,1.5,522,120,22.99,-0.4253,-222.0
1800,2.0,522,41,7.85,-0.7644,-399.0
1800,2.5,522,19,3.64,-0.8726,-455.5
1800,3.0,522,9,1.72,-0.931,-486.0
1800,4.0,522,2,0.38,-0.9808,-512.0
1800,5.0,522,0,0.0,-1.0,-522.0
1800,6.0,522,0,0.0,-1.0,-522.0
1800,8.0,522,0,0.0,-1.0,-522.0
2300,1.0,522,362,69.35,0.387,202.0
2300,1.5,522,98,18.77,-0.5307,-277.0
2300,2.0,522,30,5.75,-0.8276,-432.0
2300,2.5,522,12,2.3,-0.9195,-480.0
2300,3.0,522,6,1.15,-0.954,-498.0
2300,4.0,522,4,0.77,-0.9617,-502.0
2300,5.0,522,2,0.38,-0.977,-510.0
2300,6.0,522,2,0.38,-0.9732,-508.0
2300,8.0,522,0,0.0,-1.0,-522.0
0030,1.0,523,322,61.57,0.2314,121.0
0030,1.5,523,100,19.12,-0.522,-273.0
0030,2.0,523,38,7.27,-0.782,-409.0
0030,2.5,523,15,2.87,-0.8996,-470.5
0030,3.0,523,8,1.53,-0.9388,-491.0
0030,4.0,523,2,0.38,-0.9809,-513.0
0030,5.0,523,1,0.19,-0.9885,-517.0
0030,6.0,523,1,0.19,-0.9866,-516.0
0030,8.0,523,0,0.0,-1.0,-523.0
