ts_utc,ts_local,open,high,low,close,volume
2025-02-26 00:15:00+10:00,2025-02-26 00:15:00,2953.4,2956.5,2953.1,2954.7,1148
2025-02-26 00:20:00+10:00,2025-02-26 00:20:00,2954.9,2955.9,2953.5,2955.7,906
2025-02-26 00:25:00+10:00,2025-02-26 00:25:00,2955.7,2957.6,2955.0,2957.2,1072
2025-02-26 00:30:00+10:00,2025-02-26 00:30:00,2957.3,2958.4,2955.3,2957.4,1149
2025-02-26 00:35:00+10:00,2025-02-26 00:35:00,2957.5,2959.6,2956.5,2956.9,1219
2025-02-26 00:40:00+10:00,2025-02-26 00:40:00,2956.9,2957.0,2952.2,2952.8,1833
2025-02-26 00:45:00+10:00,2025-02-26 00:45:00,2952.8,2954.2,2949.9,2950.7,1440
2025-02-26 00:50:00+10:00,2025-02-26 00:50:00,2950.6,2950.7,2948.2,2948.7,1397
2025-02-26 00:55:00+10:00,2025-02-26 00:55:00,2948.9,2949.1,2945.5,2946.2,969
2025-02-26 01:00:00+10:00,2025-02-26 01:00:00,2947.4,2949.6,2944.5,2945.7,1258
2025-02-26 01:05:00+10:00,2025-02-26 01:05:00,2945.8,2947.2,2942.3,2942.5,1283
2025-02-26 01:10:00+10:00,2025-02-26 01:10:00,2942.4,2942.8,2940.1,2941.1,1674
2025-02-26 01:15:00+10:00,2025-02-26 01:15:00,2940.9,2941.4,2931.9,2932.7,3995
2025-02-26 01:20:00+10:00,2025-02-26 01:20:00,2932.6,2933.2,2920.3,2920.3,5791
2025-02-26 01:25:00+10:00,2025-02-26 01:25:00,2920.4,2927.3,2919.4,2922.4,3273
