orb,rr,confirm,trades,win_rate,total_r,avg_r,avg_mae,avg_mfe
0030,1.0,1,431,0.4625267665952891,1.0,0.0021413276231263384,0.75797421258985,0.7267258804916499
0030,1.5,2,347,0.2945054945054945,-12.0,-0.026373626373626374,0.7904677432718311,0.8891636862370227
0030,1.5,1,393,0.31905781584582443,-20.5,-0.043897216274089934,0.8347638212516488,0.9014091104751083
0030,1.5,3,312,0.26303854875283444,-22.0,-0.049886621315192746,0.7626584055733875,0.8519533751347101
0030,2.0,2,319,0.21318681318681318,-28.0,-0.06153846153846154,0.813781628610724,1.0019621574332538
0030,2.0,3,277,0.17233560090702948,-49.0,-0.1111111111111111,0.7830950558426797,0.9472915949746679
0030,2.0,1,354,0.2012847965738758,-72.0,-0.15417558886509636,0.8750814652094691,1.0117699406557934
0030,2.5,2,282,0.12527472527472527,-82.5,-0.1813186813186813,0.8298220199230016,1.0692092518547056
0030,2.5,3,250,0.10657596371882086,-85.5,-0.19387755102040816,0.7878771995240117,1.0087143271275592
0030,2.5,1,328,0.14132762312633834,-97.0,-0.20770877944325483,0.8856331622335533,1.084947920325741
0030,3.0,2,269,0.09010989010989011,-105.0,-0.23076923076923078,0.8349194531517558,1.115823171841631
0030,3.0,3,236,0.07256235827664399,-108.0,-0.24489795918367346,0.7904479469927183,1.045257874027305
0030,3.0,1,314,0.10492505353319058,-118.0,-0.25267665952890794,0.8929827751366526,1.1365693602482632
0900,3.0,2,468,0.2448559670781893,8.0,0.01646090534979424,0.9531412248757808,1.3711316068887127
0900,2.5,2,471,0.2777777777777778,1.5,0.0030864197530864196,0.9240323735162244,1.2609126795525922
0900,1.5,2,477,0.3868312757201646,-7.0,-0.01440329218106996,0.8348858474590097,0.9713379818604262
0900,2.0,2,474,0.3148148148148148,-15.0,-0.030864197530864196,0.899197690462164,1.1376021321732015
0900,1.5,3,473,0.37214137214137216,-25.5,-0.05301455301455302,0.8470866203873805,0.9561876922919964
0900,2.0,3,470,0.3076923076923077,-26.0,-0.05405405405405406,0.9062939910348551,1.114777997686214
0900,1.0,1,486,0.46747967479674796,-26.0,-0.052845528455284556,0.7706379122684266,0.7639515102054285
0900,3.0,1,477,0.22764227642276422,-29.0,-0.05894308943089431,0.9774463068667164,1.327818788441807
0900,1.5,1,483,0.36585365853658536,-33.0,-0.06707317073170732,0.8630331819716193,0.9584898075630209
0900,2.5,1,479,0.25609756097560976,-38.0,-0.07723577235772358,0.9554751479236838,1.2312988976231773
0900,2.5,3,466,0.2515592515592516,-42.5,-0.08835758835758836,0.9511055965571804,1.2330790354897863
0900,3.0,3,463,0.21621621621621623,-47.0,-0.09771309771309772,0.9715829500925222,1.339813074857946
0900,2.0,1,482,0.2926829268292683,-50.0,-0.1016260162601626,0.9251701487508986,1.1118760897661628
1000,3.0,2,492,0.28,68.0,0.136,0.9445383151100591,1.428805450341052
1000,3.0,3,478,0.2703252032520325,54.0,0.10975609756097561,0.9393172472212655,1.434266853197156
1000,3.0,1,499,0.26627218934911245,41.0,0.08086785009861933,0.9692467389343429,1.4260209480047272
1000,2.0,2,497,0.35,28.0,0.056,0.8891320572236114,1.175596443760807
1000,2.5,2,492,0.296,26.0,0.052,0.9308897993171428,1.3298795008373767
1000,1.5,1,504,0.4161735700197239,23.5,0.046351084812623275,0.8399530341906275,1.0056798575071195
1000,2.0,1,504,0.3431952662721893,18.0,0.03550295857988166,0.9057258782945126,1.1832371036697131
1000,2.0,3,486,0.34146341463414637,18.0,0.036585365853658534,0.8887514765295276,1.1922353871476519
1000,1.0,1,506,0.514792899408284,16.0,0.03155818540433925,0.75025760658166,0.7881989390736323
1000,2.5,3,481,0.2886178861788618,16.0,0.032520325203252036,0.9300918926766865,1.3264073959161207
1000,1.5,3,488,0.40853658536585363,14.5,0.029471544715447155,0.8355543135744331,1.0128903108475007
1000,1.5,2,498,0.408,12.0,0.024,0.8368761005796634,0.9995684811723233
1000,2.5,1,499,0.2859960552268245,8.5,0.016765285996055226,0.9456346060216566,1.3295694800580224
1100,2.0,1,441,0.3218884120171674,9.0,0.019313304721030045,0.8587642614273927,1.1311059700876593
1100,1.5,1,449,0.388412017167382,3.5,0.0075107296137339056,0.8095375941017463,0.9797135382721498
1100,1.0,1,461,0.49356223175965663,-1.0,-0.002145922746781116,0.7311789554282492,0.7723460199342663
1100,1.5,2,426,0.3705357142857143,-11.0,-0.024553571428571428,0.8123408622366906,0.9424383993342165
1100,3.0,1,414,0.21244635193133046,-18.0,-0.03862660944206009,0.9118700491253064,1.3031616369820753
1100,2.5,1,422,0.24678111587982832,-19.5,-0.04184549356223176,0.8933741973078786,1.235097455069043
1100,2.5,2,396,0.234375,-28.5,-0.06361607142857142,0.8850218734556581,1.1807252953882978
