orb,rr,is_optimal,trades,wr,avg_r,total_r
0900,0.75,False,510,72.54901960784314,0.2696078431372549,137.5
0900,1.0,True,507,63.31360946745562,0.26627218934911245,135.0
0900,1.25,False,506,57.11462450592886,0.28507905138339923,144.25
1000,2.75,False,489,35.173824130879346,0.31901840490797545,156.0
1000,3.0,True,489,33.537832310838446,0.34151329243353784,167.0
1000,3.25,False,487,30.800821355236142,0.30903490759753593,150.5
1100,0.75,False,504,73.80952380952381,0.2916666666666667,147.0
1100,1.0,True,502,64.9402390438247,0.29880478087649404,150.0
1100,1.25,False,499,58.517034068136276,0.3166332665330661,158.0
1800,1.75,False,493,50.91277890466531,0.40010141987829617,197.25
1800,2.0,True,491,46.435845213849284,0.39307535641547864,193.0
1800,2.25,False,488,42.21311475409836,0.3719262295081967,181.5
2300,3.75,False,481,42.41164241164241,1.0145530145530146,488.0
2300,4.0,True,479,41.544885177453025,1.0772442588726514,516.0
2300,4.25,False,476,40.54621848739496,1.1286764705882353,537.25
0030,3.75,False,425,52.470588235294116,1.4923529411764707,634.25
0030,4.0,True,425,50.8235294117647,1.5411764705882354,655.0
0030,4.25,False,424,49.764150943396224,1.6126179245283019,683.75
