orb,slippage_ticks,trades,wr,avg_r,total_r
0900,0,503,43.141153081510936,-0.13717693836978131,-69.0
1000,0,481,23.492723492723496,-0.060291060291060294,-29.0
1100,0,497,46.478873239436616,-0.07042253521126761,-35.0
1800,0,469,30.49040511727079,-0.08528784648187633,-40.0
2300,0,457,3.50109409190372,-0.824945295404814,-377.0
0030,0,396,4.040404040404041,-0.797979797979798,-316.0
0900,1,504,40.67460317460318,-0.1865079365079365,-94.0
1000,1,481,22.86902286902287,-0.08523908523908524,-41.0
1100,1,496,45.16129032258064,-0.0967741935483871,-48.0
1800,1,471,29.511677282377917,-0.11464968152866242,-54.0
2300,1,459,3.2679738562091507,-0.8366013071895425,-384.0
0030,1,398,3.7688442211055273,-0.8115577889447236,-323.0
0900,2,505,37.227722772277225,-0.25544554455445545,-129.0
1000,2,480,21.041666666666668,-0.15833333333333333,-76.0
1100,2,497,44.06438631790744,-0.11871227364185111,-59.0
1800,2,472,28.389830508474578,-0.1483050847457627,-70.0
2300,2,460,2.1739130434782608,-0.8913043478260869,-410.0
0030,2,400,3.25,-0.8375,-335.0
